('x','y','z','intensity','index')
(0.788, 0., 0., 2625., 0)
(0.73288834, 0.01279261, 0., 5680., 1)
(0.74754435, 0.02610482, 0., 1706., 2)
(0.76195437, 0.03993234, 0., 2819., 3)
(0.6623825, 0.0463183, 0., 3993., 4)
(0.7730471, 0.06763286, 0., 495., 5)
(0.7627983, 0.08017334, 0., 2619., 6)
(0.7533425, 0.09249883, 0., 855., 7)
(0.7565648, 0.10632825, 0., 958., 8)
(0.76447076, 0.12108027, 0., 3166., 9)
(0.7770133, 0.13700841, 0., 2691., 10)
(0.77254057, 0.15016668, 0., 2623., 11)
(0.7707803, 0.16383441, 0., 2834., 12)
(0.7639061, 0.17636162, 0., 2897., 13)
(0.7665337, 0.1911183, 0., 3557., 14)
(0.7669451, 0.20550233, 0., 2682., 15)
(0.75418776, -0.2450505, 0., 2657., 342)
(0.75834966, -0.23185079, 0., 2666., 343)
(0.75362915, -0.21609971, 0., 2617., 344)
(0.7543881, -0.20213771, 0., 2579., 345)
(0.7519792, -0.1874895, 0., 2762., 346)
(0.75026494, -0.17321235, 0., 2815., 347)
(0.75904256, -0.1613395, 0., 2632., 348)
(0.76272434, -0.14825863, 0., 2827., 349)
(0.7651956, -0.13492467, 0., 2802., 350)
(0.7723723, -0.12233179, 0., 2616., 351)
(0.76250637, -0.10716332, 0., 2549., 352)
(0.76227546, -0.09359569, 0., 2820., 353)
(0.7528531, -0.07912809, 0., 2130., 354)
(0.742165, -0.06493106, 0., 2658., 355)
(0.7521633, -0.05259642, 0., 3379., 356)
(0.7419817, -0.03888565, 0., 1848., 357)
(0.77053034, -0.02690755, 0., 2508., 358)
(0.7768817, -0.01356056, 0., 2327., 359)
(0.771, 0., 0., 2705., 0)
(0.7398873, 0.01291478, 0., 5344., 1)
(0.73455226, 0.02565113, 0., 1381., 2)
(0.78192693, 0.04097905, 0., 2650., 3)
(0.78508294, 0.05489834, 0., 2646., 4)
(0.78799003, 0.06894019, 0., 433., 5)
(0.78069973, 0.08205485, 0., 2550., 6)
(0.70073754, 0.08603975, 0., 650., 7)
(0.74270105, 0.10437983, 0., 1416., 8)
(0.75656927, 0.1198288, 0., 2631., 9)
(0.7760285, 0.13683476, 0., 2971., 10)
(0.77941203, 0.15150234, 0., 2733., 11)
(0.7844744, 0.16674517, 0., 2974., 12)
(0.78047043, 0.1801858, 0., 2508., 13)
(0.77138513, 0.19232792, 0., 2870., 14)
(0.7756384, 0.20783168, 0., 2625., 15)
(0.7589431, -0.24659559, 0., 2652., 342)
(0.76313114, -0.23331265, 0., 2722., 343)
(0.75651294, -0.21692663, 0., 2499., 344)
(0.7592177, -0.20343181, 0., 2447., 345)
(0.75683063, -0.18869911, 0., 2509., 346)
(0.76000863, -0.17546186, 0., 2523., 347)
(0.7570862, -0.16092367, 0., 2529., 348)
(0.76468754, -0.14864025, 0., 2628., 349)
(0.75534755, -0.13318819, 0., 2716., 350)
(0.7565692, -0.11982884, 0., 2780., 351)
(0.7506232, -0.10549325, 0., 2582., 352)
(0.75433505, -0.09262074, 0., 2633., 353)
(0.726001, -0.07630581, 0., 2025., 354)
(0.77205086, -0.06754573, 0., 2470., 355)
(0.76712674, -0.05364276, 0., 3497., 356)
(0.762953, -0.03998471, 0., 1825., 357)
(0.7525413, -0.02627936, 0., 2429., 358)
(0.75888443, -0.01324641, 0., 2273., 359)
(0.754, 0., 0., 2685., 0)
(0.8428716, 0.01471238, 0., 4199., 1)
(0.75653887, 0.02641892, 0., 804., 2)
(0.7639516, 0.04003701, 0., 2313., 3)
(0.6943046, 0.04855051, 0., 1715., 4)
(0.80592155, 0.07050899, 0., 720., 5)
(0.79860103, 0.08393636, 0., 3025., 6)
(0.7753799, 0.10897253, 0., 2123., 8)
(0.7674338, 0.12154958, 0., 2731., 9)
(0.7602716, 0.13405639, 0., 2987., 10)
